zone_id,counter,date,day_of_week,is_weekend,month,is_summer,temperature_f,precip_chance,nearby_event_type,base_foot_traffic,foot_traffic
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-18,3,0,7,1,71.4,0.0,none,3700,4614
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-19,4,0,7,1,69.6,0.0,none,3700,4448
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-20,5,1,7,1,70.5,0.0,none,3700,10604
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-21,6,1,7,1,68.7,0.04,none,3700,7461
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-22,0,0,7,1,65.0,0.04,none,3700,5340
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-23,1,0,7,1,65.4,0.0,none,3700,8211
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-24,2,0,7,1,64.7,0.0,none,3700,7495
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-25,3,0,7,1,66.0,0.0,none,3700,7125
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-26,4,0,7,1,64.1,0.0,none,3700,7620
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-27,5,1,7,1,66.9,0.0,none,3700,8173
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-28,6,1,7,1,67.8,0.01,none,3700,7641
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-29,0,0,7,1,64.1,1.0,none,3700,3493
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-30,1,0,7,1,68.8,0.0,none,3700,6937
belltown,Elliott Bay Trail (Myrtle Edwards),2024-07-31,2,0,7,1,67.8,0.0,none,3700,7210
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-01,3,0,8,1,69.8,0.0,none,3700,7484
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-02,4,0,8,1,74.2,0.0,none,3700,6651
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-03,5,1,8,1,69.8,0.0,none,3700,8079
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-04,6,1,8,1,73.1,0.0,none,3700,9204
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-05,0,0,8,1,70.7,0.0,none,3700,6914
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-06,1,0,8,1,66.2,0.02,none,3700,7006
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-07,2,0,8,1,66.9,0.0,none,3700,7882
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-08,3,0,8,1,69.9,0.0,none,3700,7428
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-09,4,0,8,1,73.0,0.0,none,3700,6698
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-10,5,1,8,1,72.2,0.0,none,3700,4961
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-11,6,1,8,1,66.8,0.01,none,3700,5294
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-12,0,0,8,1,66.0,0.03,none,3700,4469
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-13,1,0,8,1,64.6,0.05,none,3700,4149
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-14,2,0,8,1,68.0,0.0,none,3700,4906
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-15,3,0,8,1,66.8,0.0,none,3700,4265
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-16,4,0,8,1,67.9,0.0,none,3700,3985
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-17,5,1,8,1,67.0,1.0,none,3700,5100
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-18,6,1,8,1,68.1,0.24,none,3700,5564
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-19,0,0,8,1,67.0,0.0,none,3700,4061
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-20,1,0,8,1,66.6,0.38,none,3700,3845
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-21,2,0,8,1,65.0,0.01,none,3700,3834
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-22,3,0,8,1,63.9,0.15,none,3700,3759
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-23,4,0,8,1,59.2,0.8,none,3700,1644
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-24,5,1,8,1,60.2,1.0,none,3700,2738
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-25,6,1,8,1,63.9,0.0,none,3700,6406
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-26,0,0,8,1,64.5,0.16,none,3700,3662
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-27,1,0,8,1,59.2,0.76,none,3700,4315
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-28,2,0,8,1,58.3,0.0,none,3700,4668
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-29,3,0,8,1,61.9,0.0,none,3700,4693
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-30,4,0,8,1,64.9,0.0,none,3700,4655
belltown,Elliott Bay Trail (Myrtle Edwards),2024-08-31,5,1,8,1,66.7,0.0,none,3700,5255
belltown,Elliott Bay Trail (Myrtle Edwards),2024-09-01,6,1,9,0,67.7,0.0,none,3700,4856
